post_time,likes,comments,shares,love,support,wow,haha,anger,sorry,words,has_image,fetched_time
07/05/2020 08:30:33,321,104,75,0,0,5,1,120,1,107,False,07/05/2020 08:52:40
07/05/2020 07:30:00,2711,190,113,105,24,3,551,1,0,6,True,07/05/2020 08:52:42
06/05/2020 23:15:47,6229,597,228,413,55,6,419,2,0,29,True,07/05/2020 08:52:42
06/05/2020 21:36:24,1556,77,122,4,5,9,0,147,126,129,True,07/05/2020 08:52:43
06/05/2020 17:22:27,2292,619,255,5,1,8,5,539,18,172,True,07/05/2020 08:52:44
06/05/2020 10:00:34,3299,346,207,10,0,10,300,360,11,121,True,07/05/2020 08:52:46
06/05/2020 08:30:48,5455,448,456,39,9,11,1,407,2248,133,True,07/05/2020 08:52:47
06/05/2020 07:30:21,3197,815,546,5,0,103,25,1062,40,19,False,07/05/2020 08:52:47
05/05/2020 16:38:49,3957,1034,326,6,0,37,13,1218,183,48,False,07/05/2020 08:52:48
05/05/2020 12:07:37,2758,1086,264,0,0,0,0,0,0,30,False,
05/05/2020 10:00:04,8573,220,41,684,237,74,9,0,2,9,True,07/05/2020 08:52:50
05/05/2020 08:30:21,7311,456,558,708,175,56,4,0,0,94,False,07/05/2020 08:52:51
05/05/2020 07:30:07,3828,469,199,220,14,53,8,0,1,16,True,07/05/2020 08:52:51
04/05/2020 22:14:04,5341,622,144,57,228,7,317,45,6,25,True,07/05/2020 08:52:53
04/05/2020 21:58:09,18043,1933,1148,1110,131,22,71,646,25,112,True,07/05/2020 08:52:54
04/05/2020 12:58:13,5556,272,24,171,40,105,574,0,0,14,True,07/05/2020 08:52:55
04/05/2020 10:00:04,6112,712,2029,432,51,55,150,5,1,25,False,07/05/2020 08:52:55
04/05/2020 08:30:17,5164,398,94,38,26,4,1540,5,0,10,True,07/05/2020 08:52:57
04/05/2020 07:30:01,3746,1241,356,8,4,17,137,1125,30,26,False,07/05/2020 08:52:58
03/05/2020 16:11:38,1812,214,137,1,5,8,64,329,21,55,True,07/05/2020 08:52:58
03/05/2020 14:38:02,2702,259,141,9,5,3,57,195,92,3,True,07/05/2020 08:52:59
03/05/2020 10:30:00,3503,148,180,37,15,1,5,2,206,16,True,07/05/2020 08:53:01
03/05/2020 08:30:25,9316,319,249,751,85,23,5,1,0,5,True,07/05/2020 08:53:02
03/05/2020 07:30:20,7534,294,60,557,170,9,6,1,0,54,True,07/05/2020 08:53:02
02/05/2020 19:30:09,20334,2471,2116,1564,695,34,159,23,16,62,True,07/05/2020 08:53:03
02/05/2020 10:30:52,6094,1117,313,45,28,20,17,520,231,125,True,07/05/2020 08:53:05
02/05/2020 09:00:24,7216,186,31,103,1980,14,1544,3,1,14,True,07/05/2020 08:53:06
01/05/2020 11:55:00,4048,776,399,26,16,6,353,191,24,97,True,07/05/2020 08:53:06
01/05/2020 10:00:03,17289,1065,570,1460,224,81,7,1,1,42,True,07/05/2020 08:53:07
01/05/2020 08:30:00,4081,269,87,18,13,10,1408,4,7,6,True,07/05/2020 08:53:09
01/05/2020 07:30:20,2783,1235,251,7,2,33,330,500,37,29,False,07/05/2020 08:53:10
30/04/2020 10:30:26,7852,503,142,230,53,42,7,1,1104,75,True,07/05/2020 08:53:11
30/04/2020 09:30:00,6777,83,465,271,15,2,1,1,597,11,True,07/05/2020 08:53:11
30/04/2020 08:30:44,8089,215,138,581,18,54,1,1,0,20,True,07/05/2020 08:53:13
30/04/2020 07:30:22,11592,647,810,74,9,23,2,949,4242,133,True,07/05/2020 08:53:14
29/04/2020 14:00:37,16943,800,125,1585,11,28,22,1,0,4,True,07/05/2020 08:53:15
29/04/2020 11:30:41,3929,174,25,119,2,1,496,1,0,11,True,07/05/2020 08:53:15
29/04/2020 09:30:38,5812,86,158,426,5,16,0,0,0,91,True,07/05/2020 08:53:18
29/04/2020 08:30:17,3593,462,52,222,1,12,10,0,0,18,True,07/05/2020 08:53:19
29/04/2020 07:30:58,8835,1120,293,359,2,15,1531,11,6,28,True,07/05/2020 08:53:19
28/04/2020 21:29:53,8439,483,74,24,1,6,2798,3,9,11,True,07/05/2020 08:53:21
28/04/2020 21:00:01,10619,312,196,937,4,10,18,0,1,23,True,07/05/2020 08:53:23
28/04/2020 19:29:46,4293,881,85,59,0,21,6,995,339,26,True,07/05/2020 08:53:23
28/04/2020 15:00:51,4632,1077,499,6,0,9,9,1960,186,139,True,07/05/2020 08:53:24
28/04/2020 12:59:39,5037,1006,342,10,0,34,3,1424,675,27,True,07/05/2020 08:53:25
28/04/2020 11:48:34,27512,1503,376,4899,25,60,9,5,3558,20,True,07/05/2020 08:53:27
28/04/2020 10:30:41,9146,348,837,809,8,17,3,2,1570,89,False,07/05/2020 08:53:28
28/04/2020 09:55:16,3699,816,187,7,0,10,10,964,118,44,True,07/05/2020 08:53:28
28/04/2020 09:30:17,4097,231,208,542,13,11,2,1,440,17,False,07/05/2020 08:53:29
28/04/2020 08:30:34,3318,93,54,112,1,0,2,1,733,50,True,07/05/2020 08:53:31
28/04/2020 07:30:47,11197,163,313,968,2,25,2,2,488,7,True,07/05/2020 08:53:32
27/04/2020 20:05:22,8853,554,317,442,2,2,7,1,1028,27,False,07/05/2020 08:53:33
27/04/2020 13:23:17,8160,1882,773,259,0,45,2304,36,11,46,False,07/05/2020 08:53:33
